path,pred_label,conf_pct,top3_labels,top3_conf
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2f9f.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa0.jpg,HP,99.56,HP;EpsonV370-2;EpsonV370-1,99.56;0.32;0.08
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa1.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa2.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa3.jpg,HP,99.87,HP;EpsonV370-2;EpsonV370-1,99.87;0.12;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa4.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa5.jpg,HP,100.00,HP;EpsonV370-2;Canon220,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa6.jpg,HP,99.87,HP;EpsonV370-2;EpsonV550,99.87;0.11;0.01
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa7.jpg,HP,100.00,HP;EpsonV39-2;EpsonV370-2,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa8.jpg,HP,100.00,HP;EpsonV370-2;EpsonV550,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fa9.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2faa.jpg,EpsonV370-1,98.51,EpsonV370-1;HP;Canon9000-1,98.51;1.48;0.01
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fab.jpg,HP,100.00,HP;EpsonV370-2;Canon220,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fac.jpg,HP,99.97,HP;EpsonV370-2;EpsonV550,99.97;0.03;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd4fd6e07f470673fc2fad.jpg,HP,100.00,HP;EpsonV370-2;EpsonV370-1,100.00;0.00;0.00
/content/drive/MyDrive/Objective1/TinyScanner/68dd5038e07f470673fc2faf.jpg,HP,100.00,HP;EpsonV370-1;EpsonV370-2,100.00;0.00;0.00
